Strategy,Faithfulness,Context Precision,Answer Relevance,Correctness,% Correct,Avg Latency (ms)
A · Naive RAG,0.731,1.0,0.532,0.467,37.1,9480
B · Semantic RAG,0.755,1.0,0.555,0.501,42.9,9747
C · Hybrid RAG,0.807,0.871,0.528,0.481,38.6,11137
D · Hybrid + Reranker,0.845,0.894,0.563,0.544,54.3,11536
Adaptive Router,0.783,0.946,0.549,0.506,42.9,10735
